,genres,title,price,id,year
88310,"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']",Lost Summoner Kitty,4.99,761140,2018
88311,"['Free to Play', 'Indie', 'RPG', 'Strategy']",Ironbound,Free To Play,643980,2018
88312,"['Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports']",Real Pool 3D - Poolians,Free to Play,670290,2017
88313,"['Action', 'Adventure', 'Casual']",弹炸人2222,0.99,767400,2017
88315,"['Action', 'Adventure', 'Simulation']",Battle Royale Trainer,3.99,772540,2018
88316,"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Basic Pass,9.99,774276,2018
88317,"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Pro Pass,18.99,774277,2018
88318,"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Legend Pass,29.99,774278,2018
88322,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,10.99,770380,2018
88323,"['Casual', 'Indie']",Beach Rules,3.99,768880,2018
88324,"['Casual', 'Indie', 'Simulation']",Planetarium 2 - Zen Odyssey,2.99,765320,2018
88325,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",The first thrust of God,1.59,773650,2018
88326,"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - Starter Pack,14.99,774271,2018
88327,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",The first thrust of God - All Aircrafts,1.99,773690,2018
88328,"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - Lifetime Pack,59.99,774279,2018
88331,"['Action', 'Adventure', 'Indie']",The Warrior Of Treasures,0.99,768060,2018
88333,"['Racing', 'Simulation', 'Sports']",RC Plane 3 - Canyon Scenario,2.99,775880,2017
88334,"['Racing', 'Simulation', 'Sports']",RC Plane 3 - F-53B,2.99,775881,2017
88335,"['Action', 'Indie']",DinoBlaster,4.99,653960,2018
88337,"['Action', 'Indie', 'Racing']",Carmageddon Max Pack,9.99,282010,1997
88338,['Action'],Half-Life,9.99,70,1998
88339,"['Action', 'Indie', 'RPG']",Fallen Mage,1.99,752360,2016
88343,"['Casual', 'Indie', 'Simulation']",Vaporwave Simulator,0.99,766850,2018
88347,"['Action', 'Adventure', 'RPG']",Underdone - Soundtrack,8.99,754360,2018
88348,"['Adventure', 'Casual', 'Indie', 'RPG']",Bitcoin Clicker,0.99,716110,2018
88349,['Strategy'],Disciples II: Gallean's Return,6.99,1640,2006
88350,['Strategy'],Disciples II: Rise of the Elves,6.99,1630,2006
88351,"['Action', 'Indie', 'RPG']",The Ship: Murder Party,9.99,2400,2006
88356,"['Action', 'Indie', 'Strategy', 'Early Access']",Souland,7.99,759920,2017
88358,"['Action', 'Adventure', 'Indie', 'RPG']",TAROTICA VOO DOO,10.99,603280,2017
88359,"['Casual', 'Strategy', 'Early Access']",Chronicles of Vinland,9.99,753110,2017
88360,"['Action', 'Indie']",Orbitality,9.99,753100,2017
88362,"['Action', 'Adventure', 'Casual']",Atomic Adam: Episode 1,1.99,764280,2017
88364,"['Adventure', 'Casual', 'Free to Play', 'Indie']",Mirt. Tales of the Cold Land. Chapter 2,0.99,758550,2017
88365,['Action'],Advent Rising,9.99,3800,2005
88366,"['Indie', 'Strategy']",DEFCON,9.99,1520,2006
88367,"['Action', 'Indie', 'RPG']",The Ship: Single Player,9.99,2420,2006
88368,"['Indie', 'Simulation']",Garry's Mod,9.99,4000,2006
88369,['Racing'],RACE - The WTCC Game,39.99,4230,2006
88370,"['Casual', 'Indie']",Zen of Sudoku,Free,4900,2006
88371,"['Casual', 'Indie']",Gumboy - Crazy Adventures™,4.99,2520,2006
88372,['Strategy'],Ghost Master®,4.99,6200,2003
88373,['Strategy'],Vegas: Make It Big™,4.99,6210,2006
88374,"['Adventure', 'RPG']",Dreamfall: The Longest Journey,19.99,6300,2006
88375,['Racing'],FlatOut 2™,9.99,2990,2006
88376,['Racing'],FlatOut,7.49,6220,2005
88377,"['Action', 'Adventure']",Lost Planet™: Extreme Condition,14.99,6510,2007
88378,['Strategy'],CivCity: Rome,9.99,3980,2006
88379,['RPG'],Arx Fatalis,4.99,1700,2002
88380,"['Action', 'Adventure', 'RPG']",The Longest Journey,9.99,6310,2000
88381,['Strategy'],Civilization IV®: Warlords,4.99,3990,2006
88382,['Strategy'],Railroad Tycoon 3,9.99,7610,2003
88383,['Strategy'],Sid Meier's Railroads!,9.99,7600,2006
88385,['Strategy'],Railroad Tycoon II Platinum,4.99,7620,1998
88386,"['Casual', 'Indie']",RIP - Trilogy™,4.99,2540,2007
88387,['Strategy'],X-COM: Terror From the Deep,4.99,7650,1995
88388,"['Action', 'Adventure']",Tomb Raider: Anniversary,8.99,8000,2007
88389,['Action'],Devil May Cry® 3 Special Edition,19.99,6550,2006
88390,"['Action', 'Adventure']",Sam &amp; Max 101: Culture Shock,19.99,8200,2006
88391,['Action'],Final DOOM,4.99,2290,1996
88393,"['Action', 'Adventure']",Sam &amp; Max 102: Situation: Comedy,19.99,8210,2006
88394,['Action'],Ultimate Doom,4.99,2280,1995
88395,['Action'],Master Levels for Doom II,14.99,9160,1995
88396,['Action'],DOOM II,4.99,2300,1994
88397,['Action'],Wolfenstein 3D,4.99,2270,1994
88398,['Action'],Return to Castle Wolfenstein,4.99,9010,2001
88399,['Action'],QUAKE Mission Pack 1: Scourge of Armagon,2.99,9040,1997
88400,['Action'],Spear of Destiny,2.99,9000,1993
88401,['Action'],BloodRayne,9.99,3810,2003
88402,['Action'],QUAKE Mission Pack 2: Dissolution of Eternity,2.99,9030,2007
88403,['Action'],QUAKE,4.99,2310,2007
88404,['Strategy'],Genesis Rising,4.99,3230,2007
88405,['Strategy'],"Warhammer® 40,000: Dawn of War® – Winter Assault",12.99,9310,2006
88406,"['Action', 'RPG']",BioShock™,19.99,7670,2007
