,user_id,items_count,steam_id,playtime_forever,id
0,76561197970982479,277,76561197970982479,6,10
1,evcentric,137,76561198007712555,923,1200
2,Riot-Punch,328,76561197963445855,0,10
3,MinxIsBetterThanPotatoes,371,76561198004744620,256,50
4,NitemarePK,304,76561197990951820,3529,240
5,themanwich,258,76561198035296505,219,220
6,corrupted_soul,115,76561198007659921,2644,4000
7,76561198079601835,0,76561198079601835,0,0
8,76561198156664158,59,76561198156664158,269,4000
9,thequeenpanda,524,76561198010803705,57,300
10,Rainbow-Dashie,59,76561198087659130,253,4000
11,fdcfelipefdc,43,76561198076096109,860,4000
12,Moomfina,50,76561198056795460,425,300
13,PPanther,62,76561198026157558,12870,240
14,ABSOLUTLY_NOTHING,196,76561198053289985,5217,4000
15,Fr0stedLine,50,76561198037965617,580,10
16,starkillershadow553,0,76561198059648579,0,0
17,76561198048353577,95,76561198048353577,84234,4000
18,76561198066046412,48,76561198066046412,37,4000
19,wirlom,50,76561198096285145,30,16730
20,SavageEeEe,32,76561198078235843,6702,4000
21,76561198066908262,10,76561198066908262,3,33910
22,KanadeTheNeko,73,76561198129159264,1406,220
23,darkenkane,0,76561198058876001,0,0
24,76561198100701221,96,76561198100701221,13,10
25,76561198085547365,65,76561198085547365,11304,4000
26,76561198056147391,7,76561198056147391,1537,4000
27,8Bit-Ninja,81,76561198033538808,6296,4000
28,76561198099905030,78,76561198099905030,875,220
29,76561198047407223,56,76561198047407223,3802,4000
30,kongtape,73,76561198073719185,777,220
31,76561198100297613,74,76561198100297613,430,4000
32,VVillis,168,76561198092825399,81,240
33,Bubblecup,0,76561198057605314,0,0
34,76561198082525427,0,76561198082525427,0,0
35,12549,64,76561198091016962,468,240
36,76561198078738103,33,76561198078738103,303466,4000
37,76561198067936203,46,76561198067936203,1828,4000
38,76561198079770573,30,76561198079770573,1696,4000
39,76561198048504366,0,76561198048504366,0,0
40,76561198075491015,34,76561198075491015,7013,4000
41,Rivtex,51,76561198104187800,3,320
42,firefreddy,25,76561198059463642,93,220
43,UTNerd24,188,76561198053985682,5,10
44,76561198138053270,64,76561198138053270,102731,4000
45,76561198062422084,83,76561198062422084,1118,4000
46,steamurl,0,76561197998080236,0,0
47,lucaswerg,0,76561198056696376,0,0
48,CaptianAutismo,62,76561198100886422,3920,240
49,knightboy991,67,76561198037380683,9772,4000
50,kube134,476,76561198031442694,4,70
51,iamthekingofbrowntown,124,76561198101807736,904,220
52,MainScout,36,76561198092334812,0,205790
53,gdxsd,79,76561198087667012,285,280
54,yookobz,174,76561198043608819,0,1200
55,Posiblydead,255,76561198055519677,987,220
56,76561198087407319,66,76561198087407319,21,4000
57,19702316748,94,76561198069523027,1545,4000
58,sad-commie,306,76561198040301510,10,240
59,76561198010674657,0,76561198010674657,0,0
60,DeDroidUreLookin4,52,76561198065666007,250,1250
61,76561198060447950,55,76561198060447950,0,205790
62,76561198039266268,13,76561198039266268,6,500
63,76561198076933844,33,76561198076933844,0,240
64,76561198072186059,57,76561198072186059,3,240
65,xfluttersx,344,76561198069920369,17,10
66,thompyawesomeness,0,76561198021054286,0,0
67,ii_voltage_ii,456,76561198075905679,6398,4000
68,76561198097762318,22,76561198097762318,1838,4000
69,StelerForYou,68,76561198066728567,445,240
70,shinra420,42,76561198049648545,6864,240
71,Child_Vs_Puddle,28,76561198126693531,1084,4000
72,76561198102410011,22,76561198102410011,0,205790
73,de_Butl3r,17,76561198092276029,8263,4000
74,76561198157999555,3,76561198157999555,488,4000
75,Bluezap1,50,76561198228257988,0,10
76,L1J1N,34,76561198059515552,88,4000
77,Lord_Exploit,48,76561198121529183,50,240
78,AVATAR715,186,76561198086661549,1159,300
79,Fluxxyz,8,76561198175213762,3952,4000
80,YieuwMage,70,76561198168665156,2706,105600
81,Nfkted_CS,17,76561198071472087,1410,10
82,76561197994493402,151,76561197994493402,1037,10
83,76561198188979775,8,76561198188979775,2497,4000
84,GGargula,185,76561198086990597,408,220
85,getf0kinn0sc0pedm9,78,76561198085068505,19872,4000
86,76561198141443390,107,76561198141443390,36,4700
87,76561198097333029,23,76561198097333029,219,4000
88,dominiclim99,16,76561198069196370,0,205790
89,whodafuqisthisguilao,41,76561198073910768,462,550
90,76561198072205329,21,76561198072205329,1321,4000
91,Icamebackbitches,76,76561198040729204,55,4000
92,ohnospaghet,176,76561198049699081,332,10
93,2d4nk4m3,160,76561198077997412,51,300
94,76561198074003102,9,76561198074003102,4100,240
95,BURNINGchicken3,307,76561198043909770,298,220
96,76561198069593452,34,76561198069593452,669,113400
97,POOTISSPENSOR,26,76561198067103238,128,50
98,angorabug,49,76561198081342211,14,4000
99,ZyhgarThestarweaver,179,76561198067775813,4201,300
100,76561198088944293,131,76561198088944293,1616,300
101,76561198061475436,0,76561198061475436,0,0
102,76561198051258119,73,76561198051258119,1636,550
103,76561198065771371,64,76561198065771371,0,205790
104,nubquake123,76,76561198053801332,1930,4000
105,Pyromanic,41,76561198059267109,94,240
106,76561198149432604,14,76561198149432604,6873,620
107,76561198090294067,59,76561198090294067,720,4000
108,jimmyarcexd,1,76561198069329007,32,205790
109,talove112345,105,76561198068604808,9383,4000
110,76561198055094875,41,76561198055094875,6502,4000
111,WitchHunter4542,75,76561198049338296,1208,240
112,76561198203244300,40,76561198203244300,52344,105600
113,benedictcuminherbatch,5,76561198047971656,3825,1250
114,shark854,37,76561198073360997,51,4000
115,76561198011661078,11,76561198011661078,46,10
116,76561197991074667,14,76561197991074667,0,205790
117,killbunny38,110,76561198033203747,1832,4000
118,76561198047630659,133,76561198047630659,3343,240
119,76561198069713121,115,76561198069713121,6370,4000
120,76561198080832419,10,76561198080832419,4048,105600
121,76561198151645088,27,76561198151645088,224,300
122,IAA_Recon_Dropbear,195,76561198007380166,54,220
123,goonbagger,30,76561198106147641,3715,4000
124,lucasrash,27,76561198092019152,1464,4000
125,thisissohardtomakeoneup,15,76561198045506359,21,4000
126,76561198087010391,7,76561198087010391,23435,4000
127,76561198015747875,0,76561198015747875,0,0
128,66666669999999,121,76561198004054805,0,20
129,ReMiXOfficalSteam,106,76561198069676842,43,240
130,Wilfire77,113,76561198036810834,165,240
131,76561198069159579,25,76561198069159579,148,205790
132,76561198084390807,26,76561198084390807,1,10180
133,Mastic,365,76561198070257177,339,70
134,76561198028286104,30,76561198028286104,311,4000
135,76561198088447673,36,76561198088447673,1515,10
136,deathnz1,250,76561197995287773,49,10
137,76561198084698198,143,76561198084698198,44302,4000
138,76561198104393251,51,76561198104393251,12880,4000
139,Borne901,58,76561198049508546,1352,10
140,redsncrimson,65,76561198055786387,4333,4000
141,76561198151910904,38,76561198151910904,14,4760
142,H1DD3NT3RR0R,108,76561198066902183,327,220
143,Sammeh00,96,76561198088147599,10499,4000
144,76561198044204914,0,76561198044204914,0,0
145,76561198074963071,24,76561198074963071,55,4000
146,76561197989175394,31,76561197989175394,6964,240
147,76561198055767971,95,76561198055767971,2,240
148,adohya343,137,76561198123280390,0,300
149,76561198145436942,34,76561198145436942,10473,4000
150,jjas01,0,76561197973962178,0,0
151,3xotic26,153,76561198046015922,110,220
152,iamthetrashlord,191,76561198063595238,97,300
153,76561198041808338,81,76561198041808338,8103,4000
154,_za,0,76561198069002084,0,0
155,76561198035588228,0,76561198035588228,0,0
156,76561198051017916,763,76561198051017916,412,400
157,emurphy8,29,76561198057408937,219,4000
158,76561198096766604,48,76561198096766604,1800,4000
159,imsojipper,196,76561198070484359,16,300
160,76561198066840831,7,76561198066840831,12329,12210
161,76561198061913628,0,76561198061913628,0,0
162,76561198023094381,0,76561198023094381,0,0
163,76561198103671881,96,76561198103671881,194,4000
164,76561197970628046,83,76561197970628046,655,220
165,76561198058570014,67,76561198058570014,2953,240
166,CocoRichy,0,76561198090629243,0,0
167,EHS-R3AP3R,0,76561198050004858,0,0
168,76561198092227136,333,76561198092227136,0,10
169,76561197975388604,0,76561197975388604,0,0
170,hellcat59,55,76561198089539976,11658,4000
171,-GM-Dragon,106,76561197978442610,14,10
172,LeoRocksAce,24,76561198083940248,255,4000
173,76561198078799606,0,76561198078799606,0,0
174,76561198155458511,56,76561198155458511,21031,4000
175,76561198077035732,14,76561198077035732,2078,105600
176,76561198072625764,44,76561198072625764,163,4000
177,imagoatieatpoo,22,76561198050771457,2031,17390
178,Thatishayden,122,76561198055320702,252,240
179,76561198033864626,0,76561198033864626,0,0
180,Flabbernackle,261,76561198063584783,1826,4000
181,diabeticfuck,121,76561198072918306,5,300
182,magicalpony,6,76561198248835684,0,109600
183,76561198054465623,230,76561198054465623,7556,4000
184,76561198074257942,178,76561198074257942,39,1520
185,Aaron_ggf,664,76561197975146915,1,10
186,abhorence,0,76561197994852170,0,0
187,abiam,46,76561198057005123,453,4000
188,LightfootSword7,255,76561198052108889,25,20
189,DaDanMan,184,76561198044300314,610,4000
190,SALTTHEW0UND,114,76561198087436922,6404,4000
191,76561198070215484,0,76561198070215484,0,0
192,76561198074644990,132,76561198074644990,921,240
193,76561198064304806,36,76561198064304806,2172,4000
194,3456457568,90,76561198069126647,1465,240
195,76561198045776691,0,76561198045776691,0,0
196,TomoeMamiewe,63,76561198044661522,956,4000
197,76561198057086148,66,76561198057086148,35848,4000
198,acorn13,404,76561198001612399,1050,240
199,AddzyTheBaddzy,138,76561198091378873,20,320
200,mrfunkyjunkie,0,76561198035060604,0,0
201,76561198076154360,18,76561198076154360,714,4000
202,cancerkek,50,76561198042686759,0,2590
203,matto1499,55,76561198050553065,419,240
204,76561198074323290,0,76561198074323290,0,0
205,76561198072468669,12,76561198072468669,1004,550
206,EndAtHallow,66,76561198055363234,25547,4000
207,aeryal,55,76561198107138336,397,4000
208,76561198029090446,79,76561198029090446,1947,220
209,76561198070263209,0,76561198070263209,0,0
210,UnholyFallenAngel,83,76561198097012821,5193,240
211,madgamerzzz,15,76561198047923966,14907,4000
212,76561198031278382,0,76561198031278382,0,0
213,NaruseAiria,390,76561198076727678,87,220
214,76561198046844795,11,76561198046844795,7174,240
215,76561198044678148,0,76561198044678148,0,0
216,Alex680,0,76561198088142152,0,0
217,alansiulun,47,76561198068368825,158,12120
218,whitewolfang1,0,76561198053689884,0,0
219,Albolah,11,76561198127777505,889,4000
220,Alexwai04,0,76561198081216764,0,0
221,76561198056092813,236,76561198056092813,340,240
222,76561198095481910,74,76561198095481910,852,1250
223,76561198060059014,0,76561198060059014,0,0
224,76561198089024454,54,76561198089024454,23,240
225,76561198034129825,111,76561198034129825,2718,320
226,76561198164545985,4,76561198164545985,233,291210
227,tninjat,26,76561198060102025,218,240
228,76561198068935240,90,76561198068935240,4,6910
229,76561198018840908,101,76561198018840908,0,240
230,Jupeter117,114,76561198080703915,7747,4000
231,76561198075258452,50,76561198075258452,24,240
232,mintifreshbadger,101,76561198113948502,74,300
233,HenryCT,35,76561198048914936,47,253530
234,AlpacaRevolution,57,76561198064165439,724,4000
235,76561197996305896,72,76561197996305896,1388,4000
236,76561198009001563,245,76561198009001563,715,240
237,76561198016753953,31,76561198016753953,37212,4000
238,altas2011,44,76561198127762021,1095,4000
239,ShadowBall4011,0,76561198094660755,0,0
240,AMV72,1041,76561197971372464,20,10
241,76561198085956238,88,76561198085956238,87,70
242,76561198132540690,55,76561198132540690,70,2500
243,711armageddoncarmageddon,96,76561198087759807,245,240
244,76561198055790408,0,76561198055790408,0,0
245,76561198050465176,72,76561198050465176,0,220
246,76561198026258913,109,76561198026258913,13718,4000
247,76561198069560699,76,76561198069560699,2,240
248,AngryAinsley,101,76561198131002806,160488,4000
249,76561198069005048,32,76561198069005048,253,1250
250,-AnimeIsMyThing-,127,76561198074664792,6119,240
251,uradumbtit,246,76561198064433302,133,70
252,76561198037888300,124,76561198037888300,70,15620
253,1234865654,76,76561198086384812,362,20
254,76561198084123358,35,76561198084123358,0,205790
255,capitaomurilao,63,76561198053619146,3932,4000
256,76561198039441595,389,76561198039441595,2,10
257,AppoGetsSuperAdmin,54,76561198052921535,72764,4000
258,ARRIVE,45,76561198107355391,39,4000
259,r3ap3r78,331,76561198011684252,5811,240
260,Aquilares,296,76561198005934962,0,300
261,76561198049916759,0,76561198049916759,0,0
262,76561198012909706,182,76561198012909706,1525,220
263,76561198047185525,114,76561198047185525,924,240
264,76561198067188826,34,76561198067188826,50,4000
265,76561197974465310,72,76561197974465310,0,220
266,bilyitu,53,76561198082360492,0,29800
267,76561198093106303,0,76561198093106303,0,0
268,ArmouredForBattle,6,76561198325896496,283,108800
269,darrenfordfalcon,85,76561198057323866,5311,4000
270,76561198020928326,110,76561198020928326,5599,70
271,76561198045570160,131,76561198045570160,8029,4000
272,Array71,222,76561198039667033,141,240
273,76561198042389215,170,76561198042389215,0,4700
274,artej96,12,76561198102226879,84,4000
275,ARZARNAR,119,76561198059173677,471,300
276,Boomblasty,12,76561198096088167,0,205790
277,76561198082992295,21,76561198082992295,3625,4000
278,LaLocaDeLosDulces,48,76561198027993240,47719,10
279,76561198064352761,117,76561198064352761,604,4000
280,assassin_warman,165,76561198027176626,834,220
281,AtomicWoodchuck,0,76561197970409140,0,0
282,Swish0009,181,76561198044571371,1366,240
283,76561198053071988,174,76561198053071988,224,3920
